epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,60.8039,0.34637,0.99029,1,0.03539,0.067825,0.000325,0.000325
2,142.588,0.18657,0.99029,1,0.08262,0.034824,0.000657329,0.000657329
3,225.341,0.14153,0.94175,1,0.10996,0.00181896,0.000985623,0.000985623
4,305.558,0.11679,0.9466,1,0.12482,0.000986323,0.000986323,0.000986323
5,381.37,0.11893,0.99515,1,0.01293,0.000975773,0.000975773,0.000975773
6,455.229,0.09077,0.9466,1,0.19588,0.00096232,0.00096232,0.00096232
7,534.06,0.08236,0.99029,1,0.0141,0.000946048,0.000946048,0.000946048
8,612.456,0.07606,0.98058,1,0.04725,0.000927057,0.000927057,0.000927057
9,694.107,0.06283,0.99029,1,0.02526,0.000905463,0.000905463,0.000905463
10,745.344,0.04996,0.95631,1,0.18351,0.000881401,0.000881401,0.000881401
11,789.731,0.0382,0.99029,1,0.05914,0.000855018,0.000855018,0.000855018
12,838.182,0.06461,0.99029,1,0.05223,0.000826477,0.000826477,0.000826477
13,887.133,0.05723,0.97087,1,0.09442,0.000795954,0.000795954,0.000795954
